,B cell,"CD14-low, CD16-positive monocyte",CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human","CD34-positive, CD38-negative hematopoietic stem cell","CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell","ILC1, human",IgA plasma cell,IgG plasma cell,IgM plasma cell,T follicular helper cell,T-helper 1 cell,T-helper 2 cell,T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell",class switched memory B cell,dendritic cell,"dendritic cell, human","effector CD8-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",erythrocyte,"erythroid progenitor cell, mammalian",gamma-delta T cell,"group 2 innate lymphoid cell, human",immature B cell,mature NK T cell,mucosal invariant T cell,myeloid dendritic cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell",natural killer cell,plasmablast,plasmacytoid dendritic cell,platelet,regulatory T cell,unswitched memory B cell
IgG plasma cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgM plasma cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
T follicular helper cell,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,18,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
T-helper 1 cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
T-helper 2 cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-helper 22 cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,0,0,0
"central memory CD4-positive, alpha-beta T cell",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19,71,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0
class switched memory B cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
dendritic cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dendritic cell, human",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"effector CD8-positive, alpha-beta T cell",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,129,0,16,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"effector memory CD4-positive, alpha-beta T cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,146,0,0,11,0,0,1,6,0,0,1,11,0,0,0,0,0,0
erythrocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"erythroid progenitor cell, mammalian",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamma-delta T cell,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,8,0,8,0,0,31,0,0,0,7,0,0,9,2,0,0,0,1,0,0
"group 2 innate lymphoid cell, human",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immature B cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0
mature NK T cell,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,0,1,0,0,0,0,0,95,0,0,0,2,0,0,0,0,0,0,0
mucosal invariant T cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,4,0,0,0,49,0,0,5,1,0,0,0,0,0,0
myeloid dendritic cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
naive B cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,160,1,0,0,0,0,0,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,212,12,0,0,0,0,0,0
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,16,123,0,0,0,0,0,0
natural killer cell,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plasmablast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
plasmacytoid dendritic cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
platelet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
regulatory T cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unswitched memory B cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
